tt;age;netsurv;site
.3;54;97.38370472788446;colon
.3;55;97.0006957488871;colon
.3;56;96.59335706609291;colon
.3;57;96.16973851920774;colon
.3;58;95.74040647608838;colon
.3;59;95.3182678697129;colon
.3;60;94.91816211990397;colon
.3;61;94.5562224706724;colon
.3;62;94.24903342044705;colon
.3;63;94.00948586960155;colon
.3;64;93.83563329189234;colon
.3;65;93.71892968291419;colon
.3;66;93.64817822464939;colon
.3;67;93.61049196562558;colon
.3;68;93.59205923168858;colon
.3;69;93.57866019530111;colon
.3;70;93.55590860591722;colon
.3;71;93.50920849604042;colon
.3;72;93.42419712397518;colon
.3;73;93.28855397988706;colon
.3;74;93.0890868345403;colon
.3;75;92.81012430627381;colon
.3;76;92.43241925872358;colon
.3;77;91.93173735183342;colon
.3;78;91.27706627119267;colon
.3;79;90.43385479794917;colon
.3;80;89.38173023778599;colon
.3;81;88.10484857892938;colon
.3;82;86.59034877534475;colon
.3;83;84.83210608519434;colon
.3;84;82.83467406055222;colon
.3;85;80.61661790465735;colon
.3;86;78.21213805122895;colon
.3;87;75.66412910023716;colon
.3;88;73.0006610294182;colon
.3;89;70.24410534032852;colon
.3;90;67.41176229743067;colon
.4;35;99.81102643417755;colon
.4;36;99.77795430516267;colon
.4;37;99.73911667733644;colon
.4;38;99.69351697999817;colon
.4;39;99.63998962946805;colon
.4;40;99.57717260041485;colon
.4;41;99.50347601910859;colon
.4;42;99.41704638755178;colon
.4;43;99.31572608847664;colon
.4;44;99.19700790665146;colon
.4;45;99.05798445103767;colon
.4;46;98.89529260042008;colon
.4;47;98.70524299871606;colon
.4;48;98.48457848872931;colon
.4;49;98.23041238817645;colon
.4;50;97.94033885206342;colon
.4;51;97.61273535034144;colon
.4;52;97.24710805741398;colon
.4;53;96.84445981896825;colon
.4;54;96.40765002143273;colon
.4;55;95.94170668688639;colon
.4;56;95.45404579465092;colon
.4;57;94.95455341398544;colon
.4;58;94.45549405246386;colon
.4;59;93.97122339149372;colon
.4;60;93.51770305056972;colon
.4;61;93.11183537078102;colon
.4;62;92.77065315298533;colon
.4;63;92.50694672214401;colon
.4;64;92.31734723256096;colon
.4;65;92.19168758536959;colon
.4;66;92.11728471235641;colon
.4;67;92.07987104277687;colon
.4;68;92.06432537128133;colon
.4;69;92.05516590783841;colon
.4;70;92.03678804847803;colon
.4;71;91.99344045501718;colon
.4;72;91.90936788896619;colon
.4;73;91.76959635553617;colon
.4;74;91.55796503551049;colon
.4;75;91.2557689888563;colon
.4;76;90.84055481010543;colon
.4;77;90.28460009499589;colon
.4;78;89.55304834845326;colon
.4;79;88.60835395960848;colon
.4;80;87.43207237266031;colon
.4;81;86.01275094051508;colon
.4;82;84.34387581226743;colon
.4;83;82.42792160145045;colon
.4;84;80.27999693085167;colon
.4;85;77.93002188889861;colon
.4;86;75.4222847073295;colon
.4;87;72.80560577752333;colon
.4;88;70.10722808590182;colon
.4;89;67.3426663533466;colon
.4;90;64.51672773005924;colon
.5;35;99.70123573876988;colon
.5;36;99.65308336507654;colon
.5;37;99.59721719094014;colon
.5;38;99.53241786434603;colon
.5;39;99.45727897767725;colon
.5;40;99.37018035618624;colon
.5;41;99.26925823169502;colon
.5;42;99.15237219613148;colon
.5;43;99.01706893819049;colon
.5;44;98.86054292910156;colon
.5;45;98.67959445764585;colon
.5;46;98.47058574145213;colon
.5;47;98.22963561316134;colon
.5;48;97.95358390103267;colon
.5;49;97.63987090362724;colon
.5;50;97.28663272817299;colon
.5;51;96.89301786491833;colon
.5;52;96.4595291920579;colon
.5;53;95.98836649117331;colon
.5;54;95.4837364567187;colon
.5;55;94.95209175407251;colon
.5;56;94.40225985842736;colon
.5;57;93.84542756816688;colon
.5;58;93.29495840366536;colon
.5;59;92.76603612577055;colon
.5;60;92.27514534716286;colon
.5;61;91.83941584394879;colon
.5;62;91.47586725422039;colon
.5;63;91.19692114685594;colon
.5;64;90.99802639090359;colon
.5;65;90.86780083857995;colon
.5;66;90.79251252138577;colon
.5;67;90.75696501737877;colon
.5;68;90.7451842886762;colon
.5;69;90.7408819369374;colon
.5;70;90.72768357851501;colon
.5;71;90.68911845572562;colon
.5;72;90.60847938314593;colon
.5;73;90.46867054563172;colon
.5;74;90.25116391874445;colon
.5;75;89.93491969709365;colon
.5;76;89.49513723283128;colon
.5;77;88.9017057365222;colon
.5;78;88.11736486924021;colon
.5;79;87.10317689050601;colon
.5;80;85.8433726588426;colon
.5;81;84.33115853700237;colon
.5;82;82.56606233633931;colon
.5;83;80.55787171706909;colon
.5;84;78.32960128072102;colon
.5;85;75.91833633996946;colon
.5;86;73.37298899912713;colon
.5;87;70.74262926156429;colon
.5;88;68.04948258886056;colon
.5;89;65.30001121892208;colon
.5;90;62.48727546040976;colon
.6;35;99.57553165826553;colon
.6;36;99.51155127383574;colon
.6;37;99.43800933618027;colon
.6;38;99.35350357103324;colon
.6;39;99.25643467679453;colon
.6;40;99.14498144241381;colon
.6;41;99.01707364941321;colon
.6;42;98.87036288954279;colon
.6;43;98.70219158094093;colon
.6;44;98.50956067233797;colon
.6;45;98.28909680065586;colon
.6;46;98.03702002774671;colon
.6;47;97.74939868673013;colon
.6;48;97.42329633455333;colon
.6;49;97.05658189418469;colon
.6;50;96.64799836017622;colon
.6;51;96.19747886009037;colon
.6;52;95.70647187887553;colon
.6;53;95.17824843503294;colon
.6;54;94.6181582680978;colon
.6;55;94.03379982959285;colon
.6;56;93.4350715001424;colon
.6;57;92.83407959223487;colon
.6;58;92.24489165566693;colon
.6;59;91.68313925846765;colon
.6;60;91.16548956769859;colon
.6;61;90.70901627318871;colon
.6;62;90.33050513834749;colon
.6;63;90.041910997576;colon
.6;64;89.83770435726929;colon
.6;65;89.70557200598608;colon
.6;66;89.63101828200132;colon
.6;67;89.5981999198369;colon
.6;68;89.59056793256077;colon
.6;69;89.5913005025256;colon
.6;70;89.58352003129913;colon
.6;71;89.55029216223868;colon
.6;72;89.4742332670439;colon
.6;73;89.33653732374349;colon
.6;74;89.11677455474717;colon
.6;75;88.79208321794275;colon
.6;76;88.33591295391912;colon
.6;77;87.71649117643463;colon
.6;78;86.89505788367958;colon
.6;79;85.83219527529991;colon
.6;80;84.5149740357387;colon
.6;81;82.9409730044639;colon
.6;82;81.1149824928563;colon
.6;83;79.05261361073477;colon
.6;84;76.78246859995261;colon
.6;85;74.34576129048897;colon
.6;86;71.79272817713735;colon
.6;87;69.17000246882544;colon
.6;88;66.49370272879871;colon
.6;89;63.76193658370072;colon
.6;90;60.95873116739733;colon
.7000000000000001;35;99.43805868720248;colon
.7000000000000001;36;99.35797691610662;colon
.7000000000000001;37;99.26661073075047;colon
.7000000000000001;38;99.16240908965078;colon
.7000000000000001;39;99.04361966676201;colon
.7000000000000001;40;98.90826637667958;colon
.7000000000000001;41;98.75412553708406;colon
.7000000000000001;42;98.5787009870533;colon
.7000000000000001;43;98.37919865513297;colon
.7000000000000001;44;98.15250129805146;colon
.7000000000000001;45;97.89514441944395;colon
.7000000000000001;46;97.60329473740116;colon
.7000000000000001;47;97.27305964418281;colon
.7000000000000001;48;96.90179577926635;colon
.7000000000000001;49;96.48784410053044;colon
.7000000000000001;50;96.03056514913976;colon
.7000000000000001;51;95.53064581786643;colon
.7000000000000001;52;94.99040097573894;colon
.7000000000000001;53;94.41404199085368;colon
.7000000000000001;54;93.80788068032852;colon
.7000000000000001;55;93.18043757660108;colon
.7000000000000001;56;92.54242856913827;colon
.7000000000000001;57;91.90661393309664;colon
.7000000000000001;58;91.28750720916406;colon
.7000000000000001;59;90.70095588641986;colon
.7000000000000001;60;90.16361823927907;colon
.7000000000000001;61;89.69236808003267;colon
.7000000000000001;62;89.30365988710061;colon
.7000000000000001;63;89.00896232404118;colon
.7000000000000001;64;88.80192901010794;colon
.7000000000000001;65;88.66951332217874;colon
.7000000000000001;66;88.5966432567017;colon
.7000000000000001;67;88.56700669281564;colon
.7000000000000001;68;88.56365074881464;colon
.7000000000000001;69;88.56938596126501;colon
.7000000000000001;70;88.56699168167324;colon
.7000000000000001;71;88.53922164951229;colon
.7000000000000001;72;88.46819166005574;colon
.7000000000000001;73;88.33370115095795;colon
.7000000000000001;74;88.11377576370467;colon
.7000000000000001;75;87.78411068770703;colon
.7000000000000001;76;87.31682850970924;colon
.7000000000000001;77;86.67898587402716;colon
.7000000000000001;78;85.83090460218557;colon
.7000000000000001;79;84.73321399184475;colon
.7000000000000001;80;83.37574218562729;colon
.7000000000000001;81;81.75998745275389;colon
.7000000000000001;82;79.89517577847791;colon
.7000000000000001;83;77.80144047910346;colon
.7000000000000001;84;75.5112068869274;colon
.7000000000000001;85;73.06779145736479;colon
.7000000000000001;86;70.52089658701544;colon
.7000000000000001;87;67.91364052233087;colon
.7000000000000001;88;65.25624797321407;colon
.7000000000000001;89;62.5399446539878;colon
.7000000000000001;90;59.74234899693142;colon
.8;35;99.29182931025528;colon
.8;36;99.19563377180376;colon
.8;37;99.08655499821771;colon
.8;38;98.96292083466876;colon
.8;39;98.82285752020815;colon
.8;40;98.66426987918942;colon
.8;41;98.48482092604264;colon
.8;42;98.28191134589747;colon
